measure,location,sex,age,cause,metric,year,val,upper,lower
YLDs (Years Lived with Disability),Okayama,Male,50 to 54,Tetanus,Number,2015,8.58130929401e-05,0.000130124099138,4.1893920634e-05
YLDs (Years Lived with Disability),Okayama,Female,50 to 54,Tetanus,Number,2015,3.30741440913e-05,5.12193879009e-05,2.17202679596e-05
YLDs (Years Lived with Disability),Okayama,Male,55 to 59,Tetanus,Number,2015,7.30080186832e-05,0.000118084297835,3.59413014824e-05
YLDs (Years Lived with Disability),Okayama,Female,55 to 59,Tetanus,Number,2015,2.76487670567e-05,4.61959017282e-05,1.62945142217e-05
YLDs (Years Lived with Disability),Okayama,Male,60 to 64,Tetanus,Number,2015,7.88599861473e-05,0.000118178751332,4.20927404667e-05
YLDs (Years Lived with Disability),Okayama,Female,60 to 64,Tetanus,Number,2015,3.88178658168e-05,6.44494247911e-05,2.4419121224e-05
YLDs (Years Lived with Disability),Okayama,Male,65 to 69,Tetanus,Number,2015,8.8298448712e-05,0.000136775892035,4.50835445998e-05
YLDs (Years Lived with Disability),Okayama,Female,65 to 69,Tetanus,Number,2015,4.26746217109e-05,7.16826614122e-05,2.58932312261e-05
YLDs (Years Lived with Disability),Okayama,Male,70 to 74,Tetanus,Number,2015,8.71795906853e-05,0.000152634367134,4.98961440371e-05
YLDs (Years Lived with Disability),Okayama,Female,70 to 74,Tetanus,Number,2015,4.42178549233e-05,7.51391098243e-05,2.73584186214e-05
YLDs (Years Lived with Disability),Okayama,Male,75 to 79,Tetanus,Number,2015,9.12507987161e-05,0.000157189290342,5.00956325774e-05
YLDs (Years Lived with Disability),Okayama,Female,75 to 79,Tetanus,Number,2015,4.5343293983e-05,7.4596137698e-05,2.45511297619e-05
YLDs (Years Lived with Disability),Okayama,Male,80 plus,Tetanus,Number,2015,0.000225671283136,0.000389231712841,0.000120268334445
YLDs (Years Lived with Disability),Okayama,Female,80 plus,Tetanus,Number,2015,0.000181645481668,0.000282504868091,0.000117670276277
YLDs (Years Lived with Disability),Okayama,Male,<1 year,Tetanus,Number,2015,1.75564318271e-05,3.18138840837e-05,9.25539842266e-06
YLDs (Years Lived with Disability),Okayama,Female,<1 year,Tetanus,Number,2015,1.51926921378e-05,2.82853266393e-05,8.42981181737e-06
YLDs (Years Lived with Disability),Okayama,Male,Under 5,Measles,Number,2015,0.000864960791739,0.00132787982742,0.000578823956343
YLDs (Years Lived with Disability),Okayama,Female,Under 5,Measles,Number,2015,0.00082518319866,0.00126681363351,0.000552205150011
YLDs (Years Lived with Disability),Okayama,Male,1 to 4,Measles,Number,2015,0.000635324616631,0.000975344489996,0.00042515350022
YLDs (Years Lived with Disability),Okayama,Female,1 to 4,Measles,Number,2015,0.000617475386292,0.000947942516255,0.00041320895635
YLDs (Years Lived with Disability),Okayama,Male,5 to 9,Measles,Number,2015,0.000105331111664,0.000161703350849,7.04866294073e-05
YLDs (Years Lived with Disability),Okayama,Female,5 to 9,Measles,Number,2015,0.000107323139945,0.000164761494289,7.18196767572e-05
YLDs (Years Lived with Disability),Okayama,Male,10 to 14,Measles,Number,2015,2.97830292564e-05,4.57226317385e-05,1.99305344135e-05
YLDs (Years Lived with Disability),Okayama,Female,10 to 14,Measles,Number,2015,3.18807587542e-05,4.894304671e-05,2.13343160633e-05
YLDs (Years Lived with Disability),Okayama,Male,15 to 19,Measles,Number,2015,1.06572558389e-05,1.63609208408e-05,7.13173943529e-06
YLDs (Years Lived with Disability),Okayama,Female,15 to 19,Measles,Number,2015,1.26784455855e-05,1.94638326925e-05,8.48430137433e-06
YLDs (Years Lived with Disability),Okayama,Male,20 to 24,Measles,Number,2015,5.25745297257e-06,8.07119329864e-06,3.51824008549e-06
YLDs (Years Lived with Disability),Okayama,Female,20 to 24,Measles,Number,2015,7.87662189156e-06,1.20921172588e-05,5.27096429045e-06
YLDs (Years Lived with Disability),Okayama,Male,25 to 29,Measles,Number,2015,2.85096663843e-06,4.37677768052e-06,1.90784114704e-06
YLDs (Years Lived with Disability),Okayama,Female,25 to 29,Measles,Number,2015,4.68130392969e-06,7.18669460351e-06,3.13268634521e-06
YLDs (Years Lived with Disability),Okayama,Male,30 to 34,Measles,Number,2015,2.27292910393e-06,3.48937979048e-06,1.52102364522e-06
YLDs (Years Lived with Disability),Okayama,Female,30 to 34,Measles,Number,2015,3.55227614751e-06,5.45342156863e-06,2.37715114183e-06
YLDs (Years Lived with Disability),Okayama,Male,35 to 39,Measles,Number,2015,1.9790766098e-06,3.03826015255e-06,1.3243802079e-06
YLDs (Years Lived with Disability),Okayama,Female,35 to 39,Measles,Number,2015,2.92606600674e-06,4.49206953789e-06,1.95809696661e-06
YLDs (Years Lived with Disability),Okayama,Male,40 to 44,Measles,Number,2015,1.86181815772e-06,2.85824605875e-06,1.24591190992e-06
YLDs (Years Lived with Disability),Okayama,Female,40 to 44,Measles,Number,2015,2.21967300387e-06,3.407621517e-06,1.48538514365e-06
YLDs (Years Lived with Disability),Okayama,Male,45 to 49,Measles,Number,2015,1.52616765594e-06,2.3429585051e-06,1.02129762308e-06
YLDs (Years Lived with Disability),Okayama,Female,45 to 49,Measles,Number,2015,1.43457463948e-06,2.20234575126e-06,9.60004403005e-07
YLDs (Years Lived with Disability),Okayama,Male,50 to 54,Measles,Number,2015,1.44289809334e-06,2.21512384082e-06,9.65574383211e-07
YLDs (Years Lived with Disability),Okayama,Female,50 to 54,Measles,Number,2015,1.26153300903e-06,1.93669383666e-06,8.44206505449e-07
YLDs (Years Lived with Disability),Okayama,Male,55 to 59,Measles,Number,2015,1.88955649703e-06,2.90082970134e-06,1.26447415628e-06
YLDs (Years Lived with Disability),Okayama,Female,55 to 59,Measles,Number,2015,1.06670886149e-06,1.63760160279e-06,7.13831944027e-07
YLDs (Years Lived with Disability),Okayama,Male,60 to 64,Measles,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Female,60 to 64,Measles,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Male,65 to 69,Measles,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Female,65 to 69,Measles,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Male,70 to 74,Measles,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Female,70 to 74,Measles,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Male,75 to 79,Measles,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Female,75 to 79,Measles,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Male,80 plus,Measles,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Female,80 plus,Measles,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Male,<1 year,Measles,Number,2015,0.000229636175108,0.00035253533742,0.000153670456123
YLDs (Years Lived with Disability),Okayama,Female,<1 year,Measles,Number,2015,0.000207707812368,0.000318871117252,0.000138996193662
YLDs (Years Lived with Disability),Okayama,Male,Under 5,Varicella and herpes zoster,Number,2015,0.490889921083,0.896343865154,0.232715574276
YLDs (Years Lived with Disability),Okayama,Female,Under 5,Varicella and herpes zoster,Number,2015,0.479361590868,0.885522972527,0.237788041377
YLDs (Years Lived with Disability),Okayama,Male,1 to 4,Varicella and herpes zoster,Number,2015,0.382350932451,0.646226975123,0.186138264713
YLDs (Years Lived with Disability),Okayama,Female,1 to 4,Varicella and herpes zoster,Number,2015,0.371529105377,0.698223155965,0.189025652921
YLDs (Years Lived with Disability),Okayama,Male,5 to 9,Varicella and herpes zoster,Number,2015,0.737924498548,1.6598853274,0.241532422697
YLDs (Years Lived with Disability),Okayama,Female,5 to 9,Varicella and herpes zoster,Number,2015,0.740001968117,1.67646479549,0.215188885131
YLDs (Years Lived with Disability),Okayama,Male,10 to 14,Varicella and herpes zoster,Number,2015,1.04707733674,2.20059446492,0.393235791365
YLDs (Years Lived with Disability),Okayama,Female,10 to 14,Varicella and herpes zoster,Number,2015,1.01880343182,1.87748575093,0.433752213169
YLDs (Years Lived with Disability),Okayama,Male,15 to 19,Varicella and herpes zoster,Number,2015,1.03747274526,1.85978206161,0.435807877922
YLDs (Years Lived with Disability),Okayama,Female,15 to 19,Varicella and herpes zoster,Number,2015,1.13424381525,2.45522613023,0.415837750806
YLDs (Years Lived with Disability),Okayama,Male,20 to 24,Varicella and herpes zoster,Number,2015,1.17927076431,2.39314682786,0.363554368646
YLDs (Years Lived with Disability),Okayama,Female,20 to 24,Varicella and herpes zoster,Number,2015,1.25979614557,2.80517443482,0.436490212632
YLDs (Years Lived with Disability),Okayama,Male,25 to 29,Varicella and herpes zoster,Number,2015,1.17371009662,2.53302543678,0.38809229129
YLDs (Years Lived with Disability),Okayama,Female,25 to 29,Varicella and herpes zoster,Number,2015,1.33677614603,2.50395250278,0.60918774983
YLDs (Years Lived with Disability),Okayama,Male,30 to 34,Varicella and herpes zoster,Number,2015,1.54977237833,3.20391318549,0.576815147219
YLDs (Years Lived with Disability),Okayama,Female,30 to 34,Varicella and herpes zoster,Number,2015,1.63353809601,2.84345792795,0.667744032811
YLDs (Years Lived with Disability),Okayama,Male,35 to 39,Varicella and herpes zoster,Number,2015,2.14421744423,4.22052820842,0.819909718953
YLDs (Years Lived with Disability),Okayama,Female,35 to 39,Varicella and herpes zoster,Number,2015,2.3087274644,4.37277108934,0.956103337219
YLDs (Years Lived with Disability),Okayama,Male,40 to 44,Varicella and herpes zoster,Number,2015,2.3832071368,4.77019546685,1.0461454949
YLDs (Years Lived with Disability),Okayama,Female,40 to 44,Varicella and herpes zoster,Number,2015,2.58533224276,4.65891034052,1.34408538741
YLDs (Years Lived with Disability),Okayama,Male,45 to 49,Varicella and herpes zoster,Number,2015,2.68569948003,5.14155487839,1.19317985628
YLDs (Years Lived with Disability),Okayama,Female,45 to 49,Varicella and herpes zoster,Number,2015,2.86896690103,5.05643814103,1.38406818895
YLDs (Years Lived with Disability),Okayama,Male,50 to 54,Varicella and herpes zoster,Number,2015,3.3589572336,6.40924891969,1.40370418796
YLDs (Years Lived with Disability),Okayama,Female,50 to 54,Varicella and herpes zoster,Number,2015,3.99795882797,7.05599442836,2.22273693661
YLDs (Years Lived with Disability),Okayama,Male,55 to 59,Varicella and herpes zoster,Number,2015,4.02460074751,6.82741273691,2.09182986141
YLDs (Years Lived with Disability),Okayama,Female,55 to 59,Varicella and herpes zoster,Number,2015,4.57115777608,7.69451578188,2.21296539061
YLDs (Years Lived with Disability),Okayama,Male,60 to 64,Varicella and herpes zoster,Number,2015,5.69523510741,9.44814247462,2.928225469
YLDs (Years Lived with Disability),Okayama,Female,60 to 64,Varicella and herpes zoster,Number,2015,7.1187012153,13.1740017781,3.67103807254
YLDs (Years Lived with Disability),Okayama,Male,65 to 69,Varicella and herpes zoster,Number,2015,6.88018299146,11.2111262553,3.33819422974
YLDs (Years Lived with Disability),Okayama,Female,65 to 69,Varicella and herpes zoster,Number,2015,7.97511901422,14.1185729795,4.21436724636
YLDs (Years Lived with Disability),Okayama,Male,70 to 74,Varicella and herpes zoster,Number,2015,5.17673586765,9.18209136959,2.6883735315
YLDs (Years Lived with Disability),Okayama,Female,70 to 74,Varicella and herpes zoster,Number,2015,6.86927703667,12.0835774748,3.43999018676
YLDs (Years Lived with Disability),Okayama,Male,75 to 79,Varicella and herpes zoster,Number,2015,4.6548498857,8.20347863873,2.59408977283
YLDs (Years Lived with Disability),Okayama,Female,75 to 79,Varicella and herpes zoster,Number,2015,6.4364475946,10.6474494046,3.48976367881
YLDs (Years Lived with Disability),Okayama,Male,80 plus,Varicella and herpes zoster,Number,2015,6.34089792146,10.6750594113,3.50539948738
YLDs (Years Lived with Disability),Okayama,Female,80 plus,Varicella and herpes zoster,Number,2015,12.50605722,21.3742399867,7.07214152276
YLDs (Years Lived with Disability),Okayama,Male,<1 year,Varicella and herpes zoster,Number,2015,0.108538988632,0.247109534243,0.0412267255745
YLDs (Years Lived with Disability),Okayama,Female,<1 year,Varicella and herpes zoster,Number,2015,0.107832485491,0.228393368539,0.0393360233021
YLDs (Years Lived with Disability),Okayama,Male,Under 5,Neglected tropical diseases and malaria,Number,2015,0.00576412554356,0.016884393732,0.00132061081974
YLDs (Years Lived with Disability),Okayama,Female,Under 5,Neglected tropical diseases and malaria,Number,2015,0.00464143794606,0.0131613399048,0.000658192620584
YLDs (Years Lived with Disability),Okayama,Male,1 to 4,Neglected tropical diseases and malaria,Number,2015,0.00576207092161,0.0168818762951,0.00131857083082
YLDs (Years Lived with Disability),Okayama,Female,1 to 4,Neglected tropical diseases and malaria,Number,2015,0.00464064829529,0.0131605805641,0.000657614696398
YLDs (Years Lived with Disability),Okayama,Male,5 to 9,Neglected tropical diseases and malaria,Number,2015,0.0538569654077,0.1430116531,0.0148161166482
YLDs (Years Lived with Disability),Okayama,Female,5 to 9,Neglected tropical diseases and malaria,Number,2015,0.0452339721315,0.128967546433,0.00724129102261
YLDs (Years Lived with Disability),Okayama,Male,10 to 14,Neglected tropical diseases and malaria,Number,2015,0.104451970245,0.186333731489,0.0293702595227
YLDs (Years Lived with Disability),Okayama,Female,10 to 14,Neglected tropical diseases and malaria,Number,2015,0.0790192017427,0.202262544217,0.00857315592584
YLDs (Years Lived with Disability),Okayama,Male,15 to 19,Neglected tropical diseases and malaria,Number,2015,0.203042176517,0.37364647556,0.0608099750614
YLDs (Years Lived with Disability),Okayama,Female,15 to 19,Neglected tropical diseases and malaria,Number,2015,0.149977631811,0.374456364338,0.017288491764
YLDs (Years Lived with Disability),Okayama,Male,20 to 24,Neglected tropical diseases and malaria,Number,2015,0.4619619051,1.4503694951,0.0440618525508
YLDs (Years Lived with Disability),Okayama,Female,20 to 24,Neglected tropical diseases and malaria,Number,2015,0.120374338459,0.566849468914,0.00959688823201
YLDs (Years Lived with Disability),Okayama,Male,25 to 29,Neglected tropical diseases and malaria,Number,2015,0.670181379337,2.36690889379,0.0188143710083
YLDs (Years Lived with Disability),Okayama,Female,25 to 29,Neglected tropical diseases and malaria,Number,2015,0.160350907876,0.693354601925,0.0171219634356
YLDs (Years Lived with Disability),Okayama,Male,30 to 34,Neglected tropical diseases and malaria,Number,2015,0.580252330393,1.22080216888,0.205651870864
YLDs (Years Lived with Disability),Okayama,Female,30 to 34,Neglected tropical diseases and malaria,Number,2015,0.441660146215,1.09590947841,0.0778638771608
YLDs (Years Lived with Disability),Okayama,Male,35 to 39,Neglected tropical diseases and malaria,Number,2015,0.785601227302,2.14078563264,0.0411624675192
YLDs (Years Lived with Disability),Okayama,Female,35 to 39,Neglected tropical diseases and malaria,Number,2015,0.613285737866,1.3905337798,0.121555397772
YLDs (Years Lived with Disability),Okayama,Male,40 to 44,Neglected tropical diseases and malaria,Number,2015,1.73380240986,5.85076582921,0.0474004489295
YLDs (Years Lived with Disability),Okayama,Female,40 to 44,Neglected tropical diseases and malaria,Number,2015,0.697766123385,1.67869700978,0.16684463882
YLDs (Years Lived with Disability),Okayama,Male,45 to 49,Neglected tropical diseases and malaria,Number,2015,1.69563500416,4.83349148703,0.0504098993881
YLDs (Years Lived with Disability),Okayama,Female,45 to 49,Neglected tropical diseases and malaria,Number,2015,0.714296906132,2.19250116304,0.0357123368728
YLDs (Years Lived with Disability),Okayama,Male,50 to 54,Neglected tropical diseases and malaria,Number,2015,1.02509811013,2.94476199611,0.0593864640542
YLDs (Years Lived with Disability),Okayama,Female,50 to 54,Neglected tropical diseases and malaria,Number,2015,0.728344948941,2.80517210773,0.0397333399987
YLDs (Years Lived with Disability),Okayama,Male,55 to 59,Neglected tropical diseases and malaria,Number,2015,0.954128480396,2.627336112,0.0609776261578
YLDs (Years Lived with Disability),Okayama,Female,55 to 59,Neglected tropical diseases and malaria,Number,2015,0.799747806342,2.39932428812,0.0417495016294
YLDs (Years Lived with Disability),Okayama,Male,60 to 64,Neglected tropical diseases and malaria,Number,2015,2.67518747527,8.32006882898,0.0849845490858
YLDs (Years Lived with Disability),Okayama,Female,60 to 64,Neglected tropical diseases and malaria,Number,2015,2.29574992039,7.11617512871,0.0622985635952
YLDs (Years Lived with Disability),Okayama,Male,65 to 69,Neglected tropical diseases and malaria,Number,2015,2.92115576945,8.0984037124,0.09052080377
YLDs (Years Lived with Disability),Okayama,Female,65 to 69,Neglected tropical diseases and malaria,Number,2015,2.77941072703,8.82764197663,0.0629255480445
YLDs (Years Lived with Disability),Okayama,Male,70 to 74,Neglected tropical diseases and malaria,Number,2015,2.41413610025,6.97926271363,0.162462842612
YLDs (Years Lived with Disability),Okayama,Female,70 to 74,Neglected tropical diseases and malaria,Number,2015,2.60192756598,7.15296938917,0.405703398272
YLDs (Years Lived with Disability),Okayama,Male,75 to 79,Neglected tropical diseases and malaria,Number,2015,2.43678489143,7.77228171679,0.0653334114525
YLDs (Years Lived with Disability),Okayama,Female,75 to 79,Neglected tropical diseases and malaria,Number,2015,2.62428705896,7.27770948582,0.0680550112732
YLDs (Years Lived with Disability),Okayama,Male,80 plus,Neglected tropical diseases and malaria,Number,2015,3.56825363717,10.7229316374,0.349693989239
YLDs (Years Lived with Disability),Okayama,Female,80 plus,Neglected tropical diseases and malaria,Number,2015,5.89344890881,17.0475258394,0.772614365802
YLDs (Years Lived with Disability),Okayama,Male,<1 year,Neglected tropical diseases and malaria,Number,2015,2.054621953e-06,3.6798871408e-06,9.31524726736e-07
YLDs (Years Lived with Disability),Okayama,Female,<1 year,Neglected tropical diseases and malaria,Number,2015,7.89650770178e-07,1.56973636877e-06,3.27977885606e-07
YLDs (Years Lived with Disability),Okayama,Male,Under 5,Malaria,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Female,Under 5,Malaria,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Male,1 to 4,Malaria,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Female,1 to 4,Malaria,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Male,5 to 9,Malaria,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Female,5 to 9,Malaria,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Male,10 to 14,Malaria,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Female,10 to 14,Malaria,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Male,15 to 19,Malaria,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Female,15 to 19,Malaria,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Male,20 to 24,Malaria,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Female,20 to 24,Malaria,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Male,25 to 29,Malaria,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Female,25 to 29,Malaria,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Male,30 to 34,Malaria,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Female,30 to 34,Malaria,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Male,35 to 39,Malaria,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Female,35 to 39,Malaria,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Male,40 to 44,Malaria,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Female,40 to 44,Malaria,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Male,45 to 49,Malaria,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Female,45 to 49,Malaria,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Male,50 to 54,Malaria,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Female,50 to 54,Malaria,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Male,55 to 59,Malaria,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Female,55 to 59,Malaria,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Male,60 to 64,Malaria,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Female,60 to 64,Malaria,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Male,65 to 69,Malaria,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Female,65 to 69,Malaria,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Male,70 to 74,Malaria,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Female,70 to 74,Malaria,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Male,75 to 79,Malaria,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Female,75 to 79,Malaria,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Male,80 plus,Malaria,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Female,80 plus,Malaria,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Male,<1 year,Malaria,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Female,<1 year,Malaria,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Male,Under 5,Chagas disease,Number,2015,1.81167093275e-06,2.84875243733e-06,9.91301134919e-07
YLDs (Years Lived with Disability),Okayama,Female,Under 5,Chagas disease,Number,2015,1.27578147837e-06,1.94497881809e-06,6.5177518493e-07
YLDs (Years Lived with Disability),Okayama,Male,1 to 4,Chagas disease,Number,2015,1.78665126987e-06,2.8053927411e-06,9.73407144136e-07
YLDs (Years Lived with Disability),Okayama,Female,1 to 4,Chagas disease,Number,2015,1.2637193235e-06,1.9263412607e-06,6.4523689807e-07
YLDs (Years Lived with Disability),Okayama,Male,5 to 9,Chagas disease,Number,2015,0.000142132825006,0.000208635276139,7.92198579691e-05
YLDs (Years Lived with Disability),Okayama,Female,5 to 9,Chagas disease,Number,2015,0.000126667120091,0.000177507698458,7.03178051886e-05
YLDs (Years Lived with Disability),Okayama,Male,10 to 14,Chagas disease,Number,2015,0.00155026350659,0.00221187236057,0.000931158296081
YLDs (Years Lived with Disability),Okayama,Female,10 to 14,Chagas disease,Number,2015,0.00125674383582,0.00187169054012,0.000736161354827
YLDs (Years Lived with Disability),Okayama,Male,15 to 19,Chagas disease,Number,2015,0.00531941026153,0.00789795432012,0.00311444677833
YLDs (Years Lived with Disability),Okayama,Female,15 to 19,Chagas disease,Number,2015,0.0041810219915,0.00600782504995,0.00240264476185
YLDs (Years Lived with Disability),Okayama,Male,20 to 24,Chagas disease,Number,2015,0.0138570653727,0.0205385209393,0.00818041792523
YLDs (Years Lived with Disability),Okayama,Female,20 to 24,Chagas disease,Number,2015,0.0106420539986,0.0153561895969,0.00637251642852
YLDs (Years Lived with Disability),Okayama,Male,25 to 29,Chagas disease,Number,2015,0.0265040947035,0.0385041358711,0.0160224419658
YLDs (Years Lived with Disability),Okayama,Female,25 to 29,Chagas disease,Number,2015,0.0198749433665,0.0290736571138,0.0119247275761
YLDs (Years Lived with Disability),Okayama,Male,30 to 34,Chagas disease,Number,2015,0.0401392731964,0.0607943532154,0.023484787354
YLDs (Years Lived with Disability),Okayama,Female,30 to 34,Chagas disease,Number,2015,0.0298411044943,0.045371052201,0.0170187849832
YLDs (Years Lived with Disability),Okayama,Male,35 to 39,Chagas disease,Number,2015,0.0558048865434,0.086836564919,0.0345784798903
YLDs (Years Lived with Disability),Okayama,Female,35 to 39,Chagas disease,Number,2015,0.0410555528965,0.0627975954933,0.0248730264186
YLDs (Years Lived with Disability),Okayama,Male,40 to 44,Chagas disease,Number,2015,0.0588740773875,0.0890780046542,0.0372318382447
YLDs (Years Lived with Disability),Okayama,Female,40 to 44,Chagas disease,Number,2015,0.0442726042168,0.0666240247541,0.0272538651137
YLDs (Years Lived with Disability),Okayama,Male,45 to 49,Chagas disease,Number,2015,0.0651348261564,0.0970239532018,0.042234357855
YLDs (Years Lived with Disability),Okayama,Female,45 to 49,Chagas disease,Number,2015,0.0480421120613,0.0720625944608,0.0308295063078
YLDs (Years Lived with Disability),Okayama,Male,50 to 54,Chagas disease,Number,2015,0.0788044576403,0.121627681988,0.0503401631212
YLDs (Years Lived with Disability),Okayama,Female,50 to 54,Chagas disease,Number,2015,0.0565130868588,0.0836997937981,0.0352936597718
YLDs (Years Lived with Disability),Okayama,Male,55 to 59,Chagas disease,Number,2015,0.0791977009704,0.116340465482,0.0504574353197
YLDs (Years Lived with Disability),Okayama,Female,55 to 59,Chagas disease,Number,2015,0.0556429953001,0.0852719175793,0.0369343525821
YLDs (Years Lived with Disability),Okayama,Male,60 to 64,Chagas disease,Number,2015,0.0848961974748,0.124686146459,0.0546857319092
YLDs (Years Lived with Disability),Okayama,Female,60 to 64,Chagas disease,Number,2015,0.0641986570451,0.100643023109,0.0390712403692
YLDs (Years Lived with Disability),Okayama,Male,65 to 69,Chagas disease,Number,2015,0.0723089493645,0.108329959385,0.0475276919593
YLDs (Years Lived with Disability),Okayama,Female,65 to 69,Chagas disease,Number,2015,0.0567218270565,0.0863018772069,0.0352941918091
YLDs (Years Lived with Disability),Okayama,Male,70 to 74,Chagas disease,Number,2015,0.0645075909782,0.0902716269043,0.0416937106086
YLDs (Years Lived with Disability),Okayama,Female,70 to 74,Chagas disease,Number,2015,0.0539456999035,0.0803381841555,0.03166123564
YLDs (Years Lived with Disability),Okayama,Male,75 to 79,Chagas disease,Number,2015,0.0605337651592,0.0919172590562,0.0345522547791
YLDs (Years Lived with Disability),Okayama,Female,75 to 79,Chagas disease,Number,2015,0.0562662179594,0.0834181200698,0.0330747414811
YLDs (Years Lived with Disability),Okayama,Male,80 plus,Chagas disease,Number,2015,0.115219846953,0.173836457709,0.0747962117576
YLDs (Years Lived with Disability),Okayama,Female,80 plus,Chagas disease,Number,2015,0.132517292036,0.200661509776,0.0905255789322
YLDs (Years Lived with Disability),Okayama,Male,<1 year,Chagas disease,Number,2015,2.50196628766e-08,4.75654909717e-08,1.16057357487e-08
YLDs (Years Lived with Disability),Okayama,Female,<1 year,Chagas disease,Number,2015,1.2062154869e-08,2.28400652705e-08,5.58215318333e-09
YLDs (Years Lived with Disability),Okayama,Male,Under 5,Leishmaniasis,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Female,Under 5,Leishmaniasis,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Male,1 to 4,Leishmaniasis,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Female,1 to 4,Leishmaniasis,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Male,5 to 9,Leishmaniasis,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Female,5 to 9,Leishmaniasis,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Male,10 to 14,Leishmaniasis,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Female,10 to 14,Leishmaniasis,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Male,15 to 19,Leishmaniasis,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Female,15 to 19,Leishmaniasis,Number,2015,0.0,0.0,0.0
YLDs (Years Lived with Disability),Okayama,Male,20 to 24,Leishmaniasis,Number,2015,0.0,0.0,0.0
